PS C:\Users\Rendszergazda> get-WindowsFeature 

Display Name                                            Name                       Install State
[ ] Vezeték nélküli helyi hálózat szolgáltatás          Wireless-Networking            Available
[ ] Windows biometriai keretrendszer                    Biometric-Framework            Available
[ ] Windows folyamataktivációs szolgáltatás             WAS                            Available
    [ ] Folyamatmodell                                  WAS-Process-Model              Available
    [ ] .NET-környezet 3.5                              WAS-NET-Environment            Available
    [ ] Konfigurációs API-felületek                     WAS-Config-APIs                Available
[ ] Windows Identity Foundation 3.5                     Windows-Identity-Fou...        Available
[X] Windows PowerShell                                  PowerShellRoot                 Installed
    [X] Windows PowerShell 4.0                          PowerShell                     Installed
    [ ] A Windows PowerShell célállapot-konfiguráló ... DSC-Service                    Available
    [ ] Webes Windows PowerShell-elérés                 WindowsPowerShellWeb...        Available
    [ ] Windows PowerShell 2.0 motor                    PowerShell-V2                    Removed
    [X] Windows PowerShell ISE                          PowerShell-ISE                 Installed
[ ] Windows Search szolgáltatás                         Search-Service                 Available
[ ] Windows Server áttelepítési eszközök                Migration                      Available
[ ] Windows Server biztonsági másolat                   Windows-Server-Backup          Available
[ ] Windows szabványalapú tárolókezelés                 WindowsStorageManage...        Available
[ ] Windows TIFF IFilter indexszűrő                     Windows-TIFF-IFilter           Available
[ ] Windows visszajelzés-továbbító                      WFF                            Available
[ ] WinRM IIS-bővítmény                                 WinRM-IIS-Ext                  Available
[ ] WINS-kiszolgáló                                     WINS                           Available
[X] WoW64-támogatás                                     WoW64-Support                  Installed
[ ] XPS-megjelenítő                                     XPS-Viewer                     Available


